ANO;MES;DATA;FASES;CHAPECO;BARRAMENTO;CAIBI;NONOAI;INMET1;INMET2
2013;7;20130701;POS-ENCHIMENTO;71.8;50;48;64.4;153.9;191.4
2013;8;20130801;POS-ENCHIMENTO;204;193.8;190;321.2;149.2;141.9
2013;9;20130901;POS-ENCHIMENTO;242.4;180.4;188.8;194.4;163.3;194.2
2013;10;20131001;POS-ENCHIMENTO;238.2;166.4;176.2;216.6;192;246.9
2013;11;20131101;POS-ENCHIMENTO;143;139.6;148.6;197.2;182.6;157.2
2013;12;20131201;POS-ENCHIMENTO;149.8;200.8;212.8;156;157.7;168.1
2014;1;20140101;POS-ENCHIMENTO;132.2;312.6;333.6;135.6;162.6;177.6
2014;2;20140201;POS-ENCHIMENTO;133.8;178.4;166.8;115.2;173.7;210.1
2014;3;20140301;POS-ENCHIMENTO;258.6;298.6;261.6;228.2;116.5;131.9
2014;4;20140401;POS-ENCHIMENTO;348;399.8;358.4;359.4;167;172.1
2014;5;20140501;POS-ENCHIMENTO;155.2;181.4;182.8;209.4;188.9;174.1
2014;6;20140601;POS-ENCHIMENTO;491.4;464;509.4;549.6;146.2;159.1
2014;7;20140701;POS-ENCHIMENTO;113;117.8;111;118.2;153.9;191.4
2014;8;20140801;POS-ENCHIMENTO;113.8;88.2;72.6;162.6;149.2;141.9
2014;9;20140901;POS-ENCHIMENTO;368.6;415.6;385;373.6;163.3;194.2
2014;10;20141001;POS-ENCHIMENTO;60;73.2;61.6;69.2;192;246.9
2014;11;20141101;POS-ENCHIMENTO;155.2;165;168;146.8;182.6;157.2
2014;12;20141201;POS-ENCHIMENTO;216;203.6;210;191.2;157.7;168.1
2015;1;20150101;POS-ENCHIMENTO;285.8;368.4;437.6;275;162.6;177.6
2015;2;20150201;POS-ENCHIMENTO;166.4;174.6;225.2;175.6;173.7;210.1
2015;3;20150301;POS-ENCHIMENTO;134.8;77.2;64.2;57;116.5;131.9
2015;4;20150401;POS-ENCHIMENTO;110.6;105.8;103.8;89.2;167;172.1
2015;5;20150501;POS-ENCHIMENTO;199.6;196;233.4;151;188.9;174.1
2015;6;20150601;POS-ENCHIMENTO;272.2;206.6;223;142.8;146.2;159.1
2015;7;20150701;POS-ENCHIMENTO;465.2;401;459.8;322.2;153.9;191.4
2015;8;20150801;POS-ENCHIMENTO;52.2;42.8;55.8;37.8;149.2;141.9
2015;9;20150901;POS-ENCHIMENTO;264.4;184.2;193.2;179;163.3;194.2
2015;10;20151001;POS-ENCHIMENTO;200.4;197.2;245.4;241.6;192;246.9
2015;11;20151101;POS-ENCHIMENTO;324;283.4;334.4;320.8;182.6;157.2
2015;12;20151201;POS-ENCHIMENTO;368;470.4;468.2;430;157.7;168.1
2016;1;20160101;POS-ENCHIMENTO;176.2;161.6;224.2;242;162.6;177.6
2016;2;20160201;POS-ENCHIMENTO;195.2;143;127.4;257;173.7;210.1
2016;3;20160301;POS-ENCHIMENTO;241.8;237.2;364;214.6;116.5;131.9
2016;4;20160401;POS-ENCHIMENTO;71.2;91;111.8;95.8;167;172.1
2016;5;20160501;POS-ENCHIMENTO;161.8;104;133.6;141.6;188.9;174.1
2016;6;20160601;POS-ENCHIMENTO;46.4;29.4;33;35.4;146.2;159.1
2016;7;20160701;POS-ENCHIMENTO;60;77.6;72.6;122.4;153.9;191.4
2016;8;20160801;POS-ENCHIMENTO;178.4;223.6;189.7;160.8;149.2;141.9
2016;9;20160901;POS-ENCHIMENTO;95;88.4;58.8;78.8;163.3;194.2
2016;10;20161001;POS-ENCHIMENTO;234.2;209;141;173.6;192;246.9
2016;11;20161101;POS-ENCHIMENTO;163.6;111.6;98.4;98.4;182.6;157.2
2016;12;20161201;POS-ENCHIMENTO;194.4;202;199.4;182.8;157.7;168.1
2017;1;20170101;POS-ENCHIMENTO;155.6;166.8;189;143.2;162.6;177.6
2017;2;20170201;POS-ENCHIMENTO;165.8;244.2;212;252.2;173.7;210.1
2017;3;20170301;POS-ENCHIMENTO;100.8;117.6;121.2;128.6;116.5;131.9
2017;4;20170401;POS-ENCHIMENTO;155.8;244.8;239.2;273.4;167;172.1
2017;5;20170501;POS-ENCHIMENTO;444.8;420.4;343;412.8;188.9;174.1
2017;6;20170601;POS-ENCHIMENTO;159.4;153;128.6;163.8;146.2;159.1
2017;7;20170701;POS-ENCHIMENTO;12.4;13.4;12.2;13.4;153.9;191.4
2017;8;20170801;POS-ENCHIMENTO;169.2;192;183.2;165;149.2;141.9
2017;9;20170901;POS-ENCHIMENTO;55;78;81.8;71.6;163.3;194.2
2017;10;20171001;POS-ENCHIMENTO;350.2;382.2;316.6;98.4;192;246.9
2017;11;20171101;POS-ENCHIMENTO;170.8;155.2;179;162.8;182.6;157.2
2017;12;20171201;POS-ENCHIMENTO;102;94;195.4;95;157.7;168.1
2018;1;20180101;POS-ENCHIMENTO;341.2;336;291;292.6;162.6;177.6
2018;2;20180201;POS-ENCHIMENTO;68.8;117.6;46.8;43;173.7;210.1
2018;3;20180301;POS-ENCHIMENTO;220.2;276.8;228.4;249.4;116.5;131.9
2018;4;20180401;POS-ENCHIMENTO;42.2;41.4;13.4;21.2;167;172.1
2018;5;20180501;POS-ENCHIMENTO;83;73.2;84.8;107.2;188.9;174.1
2018;6;20180601;POS-ENCHIMENTO;93.4;130.2;105;106.4;146.2;159.1
2018;7;20180701;POS-ENCHIMENTO;59;39;42.1;36.2;153.9;191.4
2018;8;20180801;POS-ENCHIMENTO;119.8;94;91.8;42.2;149.2;141.9
2018;9;20180901;POS-ENCHIMENTO;214.8;204;228.4;180.6;163.3;194.2
2018;10;20181001;POS-ENCHIMENTO;336;271.2;279.4;278;192;246.9
2018;11;20181101;POS-ENCHIMENTO;210;197.2;182.5;172.4;182.6;157.2
2018;12;20181201;POS-ENCHIMENTO;98;115.8;67.2;126.4;157.7;168.1
2019;1;20190101;POS-ENCHIMENTO;296.4;252.4;95.5;327.2;162.6;177.6
2019;2;20190201;POS-ENCHIMENTO;281.8;276.2;214.8;192;173.7;210.1
2019;3;20190301;POS-ENCHIMENTO;175.2;154.2;132.9;227.4;116.5;131.9
2019;4;20190401;POS-ENCHIMENTO;170.4;103.8;78;156.6;167;172.1
2019;5;20190501;POS-ENCHIMENTO;324;358;250.9;349.4;188.9;174.1
2019;6;20190601;POS-ENCHIMENTO;53.2;43.6;32.5;45.4;146.2;159.1
2019;7;20190701;POS-ENCHIMENTO;106.4;103.6;73.8;116.8;153.9;191.4
2019;8;20190801;POS-ENCHIMENTO;47.4;54.8;59.5;55.8;149.2;141.9
2019;9;20190901;POS-ENCHIMENTO;44.2;44.2;47.3;44.4;163.3;194.2
2019;10;20191001;POS-ENCHIMENTO;231;203.8;135.7;171.4;192;246.9
2019;11;20191101;POS-ENCHIMENTO;171.2;126.2;80;131.6;182.6;157.2
2019;12;20191201;POS-ENCHIMENTO;183.2;152.6;114;89.4;157.7;168.1
2020;1;20200101;POS-ENCHIMENTO;87.8;106.6;97;165.6;162.6;177.6
2020;2;20200201;POS-ENCHIMENTO;181.4;110.8;57.3;181.6;173.7;210.1
2020;3;20200301;POS-ENCHIMENTO;35.4;35.8;35.2;70.4;116.5;131.9
2020;4;20200401;POS-ENCHIMENTO;93.6;96.8;83.4;84.2;167;172.1
2020;5;20200501;POS-ENCHIMENTO;192.8;169.4;138.7;130.6;188.9;174.1
2020;6;20200601;POS-ENCHIMENTO;371;322;215.5;231.8;146.2;159.1
2020;7;20200701;POS-ENCHIMENTO;153;134.8;107.4;159.8;153.9;191.4
2020;8;20200801;POS-ENCHIMENTO;133.4;94.8;91.6;91;149.2;141.9
2020;9;20200901;POS-ENCHIMENTO;50.6;42.4;31.2;53;163.3;194.2
2020;10;20201001;POS-ENCHIMENTO;24.2;22;33.6;42;192;246.9
2020;11;20201101;POS-ENCHIMENTO;156.4;94.6;121.2;124.4;182.6;157.2
2020;12;20201201;POS-ENCHIMENTO;277;237.4;195.2;136;157.7;168.1
2021;1;20210101;POS-ENCHIMENTO;224.6;321.4;257.4;232.6;162.6;177.6
2021;2;20210201;POS-ENCHIMENTO;73.8;73;73.8;49;173.7;210.1
2021;3;20210301;POS-ENCHIMENTO;102.8;138.6;65.2;89.8;116.5;131.9
2021;4;20210401;POS-ENCHIMENTO;27.8;20.6;29.8;23.2;167;172.1
2021;5;20210501;POS-ENCHIMENTO;74.4;57;63.2;70;188.9;174.1
2021;6;20210601;POS-ENCHIMENTO;217;193.2;183.8;250.2;146.2;159.1
2021;7;20210701;POS-ENCHIMENTO;69.8;47;51.8;63.2;153.9;191.4
2021;8;20210801;POS-ENCHIMENTO;39.6;40.6;37;48.4;149.2;141.9
2021;9;20210901;POS-ENCHIMENTO;148;130;151;137;163.3;194.2
2021;10;20211001;POS-ENCHIMENTO;364.6;315.4;296.6;292;192;246.9
2021;11;20211101;POS-ENCHIMENTO;127;51;77;65;182.6;157.2
2021;12;20211201;POS-ENCHIMENTO;11.4;11;17.2;34.2;157.7;168.1
2022;1;20220101;POS-ENCHIMENTO;113.6;111.6;42.2;74.2;162.6;177.6
2022;2;20220201;POS-ENCHIMENTO;135.6;106;125;97;173.7;210.1
2022;3;20220301;POS-ENCHIMENTO;241;228.4;266.2;243;116.5;131.9
2022;4;20220401;POS-ENCHIMENTO;321.8;297.6;311.4;208.2;167;172.1
2022;5;20220501;POS-ENCHIMENTO;321;271.4;267.4;257;188.9;174.1
2022;6;20220601;POS-ENCHIMENTO;207.4;276;219.6;208.4;146.2;159.1
2022;7;20220701;POS-ENCHIMENTO;132.3;121.8;121;126.7;153.9;191.4
2022;8;20220801;POS-ENCHIMENTO;124.9;117.2;108.1;119.2;149.2;141.9
2022;9;20220901;POS-ENCHIMENTO;157.6;140.8;144.3;135.7;163.3;194.2
2022;10;20221001;POS-ENCHIMENTO;248.3;230.7;216.9;195.7;192;246.9
2022;11;20221101;POS-ENCHIMENTO;148.1;121.5;129.5;130.9;182.6;157.2
2022;12;20221201;POS-ENCHIMENTO;191.1;188.7;185.6;153.2;157.7;168.1
2023;1;20230101;POS-ENCHIMENTO;187.5;200.4;189.3;179.8;162.6;177.6
2023;2;20230201;POS-ENCHIMENTO;154.6;156.9;136.9;145.6;173.7;210.1
2023;3;20230301;POS-ENCHIMENTO;171.1;174.4;173.5;175.4;116.5;131.9
2023;4;20230401;POS-ENCHIMENTO;154.2;149.4;146.6;151.1;167;172.1
2023;5;20230501;POS-ENCHIMENTO;182.6;166.7;159.6;168.0;188.9;174.1
2023;6;20230601;POS-ENCHIMENTO;214.5;205.2;204.3;201.27;146.2;159.1
2023;7;20230701;POS-ENCHIMENTO;195;161.6;139.2;200.2;153.9;191.4
2023;8;20230801;POS-ENCHIMENTO;116;115;124;112;149.2;141.9
2023;9;20230901;POS-ENCHIMENTO;243;240.4;247.6;284.6;163.3;194.2
2023;10;20231001;POS-ENCHIMENTO;622;576;531;635.6;192;246.9
2023;11;20231101;POS-ENCHIMENTO;492;512.8;498;661.8;182.6;157.2
2023;12;20231201;POS-ENCHIMENTO;275;210;224;308;157.7;168.1
2024;1;20240101;POS-ENCHIMENTO;231.4;122.6;176.6;186.4;162.6;177.6
2024;2;20240201;POS-ENCHIMENTO;226.4;141;184;224;173.7;210.1
2024;3;20240301;POS-ENCHIMENTO;179;227.8;229.4;146.8;116.5;131.9
2024;4;20240401;POS-ENCHIMENTO;214.2;209.8;230.8;215.6;167;172.1
2024;5;20240501;POS-ENCHIMENTO;312.8;256;278;342;188.9;174.1
2024;6;20240601;POS-ENCHIMENTO;205.6;180.6;168;220.8;146.2;159.1
2024;7;20240701;POS-ENCHIMENTO;172.6;234.8;222.0;200.2;153.9;191.4
